date,id,content,username,likes,retweets,replies
2024-07-04 18:19:35+00:00,1808928661560545598,"My personal hell is how underdeveloped the “selection” tool on @Apple is, especially on mobile.",ojxolape,0,0,0
2024-07-04 18:18:11+00:00,1808928306739175783,@intellidrink I used to love this app. I don’t understand why @Apple @AppStore are against responsible drinking. It’s truly baffling. I used to use this all the time. It’s not a legal thing because there are all kinds of disclaimers you can accept. Sometimes I swear Apple hates us.,John_J_Dawson,0,0,0
2024-07-04 18:16:15+00:00,1808927822712348845,@SamsungIndia @SamsungMobile @jagograhakjago @ndtv @Apple  Few days back i updated samsung s22 to latest update availble but since then the phone heating up even without using phone or making a normal phone call. The battery also drains real quick. 50%less backup after update,say_axim,0,0,0
2024-07-04 18:14:25+00:00,1808927359871177113,.@Apple FIX MSG IM TRYING TO SING ATW W MADDIE,viasrto,1,0,0
2024-07-04 18:10:18+00:00,1808926323064058311,"@fitbit charge 6 vs @Apple watch ultra 2.
Both worn the whole day and during exercise. Who's correct 🤔 @EngKaruru @fobita  how was your day? https://t.co/FUIKVpL6py",Ema_Ayo23,0,0,1
2024-07-04 18:09:29+00:00,1808926119938203725,"Can we get an updated version of the notes 📝 app with features like...

Time and dates histories 
• Creation dates and times
• Edited dates and times 
• Creation contents histories 
• Edited contents histories 

@Apple ???",iamjabbaralimi,0,0,1
2024-07-04 18:08:21+00:00,1808925831710003528,"@AppCensorship @AppStore @Apple “We have to obey the laws of the places we do business in”, says Apple, while breaking the European DMA, California UCL, and other competition laws.",TimSweeneyEpic,3,2,0
2024-07-04 18:06:36+00:00,1808925391479845312,"@VHybra28868 @RedShieldVPN_ru @Apple У тебя восторг с губы стекает, подотри",us33wh471s33,0,0,0
2024-07-04 18:06:14+00:00,1808925299876507808,"@Apple The billing problem doesn’t exist, Next Pro SoundCloud already includes The + on all music $130 a year an all for producers as I have a Next Pro account and have for a while. So get off my ass !!!",IVoidwarranti3s,0,0,0
2024-07-04 18:05:49+00:00,1808925195765494245,.@AppStore @apple I find this add triggering and abhorrent . @x has eliminated any ability for users to hide offensive ads. How is this not a violation of @AppStore policy?! @nandoodles 🤔 https://t.co/TOYzatxO0s,nanci_murdock,0,0,0
2024-07-04 18:04:47+00:00,1808924934564929706,@Apple after the update of ios 17.5.1 my iphone 13 i am facing hang issue and iphone is being slow,katihar246,0,0,0
2024-07-04 18:04:45+00:00,1808924928781267198,@newsofcardib @reallwymmdstan @pillow1215 @Apple the sky is blue https://t.co/wpIKokpe60,folkloresss_,0,0,0
2024-07-04 18:04:09+00:00,1808924774527349096,"@LIVIEPRINT @melanierapedme @reallwymmdstan @pillow1215 @Apple you a 🚂y don’t deny, and we ARE NOT here for you btw",folkloresss_,0,0,0
2024-07-04 18:03:45+00:00,1808924675537330430,@reallwymmdstan @LIVIEPRINT @melanierapedme @pillow1215 @Apple end,5StarRoman,0,0,0
2024-07-04 18:06:31+00:00,1808925369942118488,"ita34 message just came in

i am coming for you @Apple",n0zinga,0,0,0
2024-07-04 18:03:18+00:00,1808924563373502674,@BNODesk Not surprising. @Apple willingly bows down without principles to dictators all around the world.,blackcell,0,0,0
2024-07-04 18:03:13+00:00,1808924543215440236,“Sad that @Apple in Russia is taking some VPN apps out of the store at the request of the regulator Roskomnadzor. Providing VPN apps for people in Russia for free would be right.”,andischl,0,0,0
2024-07-04 08:20:40+00:00,1808777935777665146,"Traurig, dass Apple in Russland auf Bitten des Regulators Roskomnadzor einige VPN-Apps aus dem Store nimmt. VPN-Apps für Menschen in Russland kostenlos zur Verfügung stellen wäre richtig.",nicolange_,336,49,11
2024-07-04 18:02:37+00:00,1808924391545151769,"Apple's controlled @AppStore environment lets them selectively target VPNs like Proton VPN, Red Shield VPN, NordVPN, and Le VPN in specific regions. This creates the illusion that most VPNs are widely available, when in fact, @Apple censors key services at the behest of repressive regimes. You can read the findings (which now need updating thanks to Apple). of our recent ""Comparative Study on the Global Availability of VPN Apps in Apple's App Stores and Google's Play Stores"" here: https://t.co/9s4My56uwv",AppCensorship,3,1,1
2024-07-04 09:20:32+00:00,1808793003844137265,"Apple has removed four VPN service apps from the Russian AppStore—Proton VPN, Red Shield VPN, NordVPN, and Le VPN.

According to a notice published by Red Shield and Le VPN, the company refers to Roskomnadzor, Russian internet watchdog https://t.co/BLuehvjn1h",mediazona_en,68,34,3
2024-07-04 18:00:01+00:00,1808923737057816992,"@Apple secures an observer seat on @OpenAI's board, with Phil Schiller representing Apple. 

This strategic partnership aims to integrate ChatGPT into Apple products, enhancing AI capabilities. 

#AllAboutAI #Apple #OpenAI #TechNews #ArtificialIntelligence #StrategicPartnership https://t.co/vKEEoTZdcH",AllAboutAicom,0,0,0
2024-07-04 17:59:50+00:00,1808923688483336557,"Edit and lock the files, now you can make 100% technically convincing, fake conversations.
Not legal advice.",XeZrunner,1,0,0
2024-07-04 17:58:59+00:00,1808923477803446447,"“Severe weather” @apple?
31C in Lisbon is normal, not severe.
It’s shit like this that cause ppl to doubt #climatechange. https://t.co/e9tjqR7Nqm",GenXAlpha,0,0,0
2024-07-04 17:57:08+00:00,1808923011862704456,"@X @Apple signing on, I couldn't type with it, nothing appeared on the screen when I hit the keys. Then I turned on the bluetooth function of my keyboard, and now I can type. Can someone help with this issue? @elonmusk @tim_cook 3/3",adawan919,0,0,0
2024-07-04 17:56:53+00:00,1808922947400192391,"Begeistertes shoutout für die Mitarbeiter:innen im @Apple Store Wien! 
Super freundlich, kompetent, zuvorkommend - ein Traumservice!🥰",evakalla,0,0,0
2024-07-04 17:56:44+00:00,1808922908045234221,"@X would work again for me).
Just now, I was not able to use my @Apple keyboard to type after I signed onto @X . The keyboard is a one with both a USB cable (plugged in) as well as a bluetooth option. Before signing onto @X, my keyboard worked just fine with bluetooth off. After 2/",adawan919,0,0,1
2024-07-04 17:53:46+00:00,1808922161547186263,@Apple launching the iPhone 16 in two months as if enough Congolese children haven't died already. Consumerism is a curse #FreeCongo,fatimaokhuosami,0,0,0
2024-07-04 17:50:59+00:00,1808921462147096686,"@Apple Removes VPN Apps From Russian App Store at its Media Watchdogs Demands

The latest action includes removal of following VPNs:
@ProtonVPN @RedShieldVPN @NordVPN @LeVPN 

via @TheCyberExpress https://t.co/42qZr3vaCG",MihirBagwe,1,0,0
2024-07-04 17:50:21+00:00,1808921301274259900,"For a company that prides itself on thoughtful design, @Apple has made some massively stupid design choices in the past decade.

The AppleTV 4K remote (first gen) is one of the worst. Yes, they fixed it, but it was so bad, it proves there’s something very wrong inside Apple.",eechentx,0,0,0
